Nr.,Planungsraum,,Status 1,Status 2,Status 3,Status 4,Status 5, Status 6,Dynamik 1,Dynamik 2,Dynamik 3,Dynamik 4,Dynamik 5,Dynamik 6,E 1,E 2,E 3,E 4,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,E 14,E 15,E 16,E 17,E 18,E 19,E 20,E 21,E 22,      E 23
08030829,Gropiusstadt Nord,"12,088  ",11.5,7.5,4.1,24.0,65.2,69.4,17.7,0.8,6.2,-0.6,1.0,-2.7,11.9,-0.2,-0.2,5.7,16.4,29.2,15.6,39.6,15.1,72.0,6.0,1.7,1.2,1.6,1.1,2.3,2.2,3.4,-1.2,-0.4,-0.6,17.4,45.2
08030830,Gropiusstadt Süd,"7,119  ",8.9,5.8,2.8,16.2,56.2,65.6,17.0,0.1,-0.7,-0.1,3.5,5.4,15.8,-0.5,-0.3,4.0,10.3,35.4,11.5,29.2,11.6,70.5,5.0,0.8,0.4,1.1,0.8,2.4,1.9,3.2,-0.7,-2.6,-0.4,13.5,37.8
08030831,Gropiusstadt Ost,"16,774  ",11.9,6.9,4.1,24.3,58.5,66.7,18.4,0.8,3.8,-0.2,-0.4,-2.6,13.8,0.1,-0.1,5.5,17.5,24.1,16.7,42.6,14.5,72.6,7.7,0.8,0.9,2.3,0.7,3.0,2.7,3.7,-1.7,-1.3,-1.0,19.5,41.1
08040932,Goldhähnchenweg,"2,692  ",8.0,5.0,3.3,14.2,42.1,49.9,19.9,1.1,5.2,-0.1,2.3,-0.3,14.9,0.8,0.1,4.7,14.6,30.6,6.8,21.9,6.6,64.6,3.0,0.6,0.2,0.4,0.9,1.2,0.9,2.1,-0.1,1.8,-0.2,11.5,40.1
08040933,Vogelviertel Süd,"3,859  ",6.3,4.4,2.2,7.7,22.5,46.8,19.3,2.5,-1.5,-0.5,-0.9,0.1,14.8,2.1,-0.5,2.4,11.4,30.2,9.0,21.8,9.8,42.4,3.4,0.4,0.2,2.0,0.9,1.0,0.8,1.8,-0.9,-0.6,-0.3,8.3,20.7
08040934,Vogelviertel Nord,"2,634  ",5.8,2.5,2.1,10.5,24.8,39.5,19.2,0.4,2.9,0.3,-3.5,-5.0,13.5,-0.6,-0.4,3.7,16.7,17.0,9.5,23.3,9.3,46.9,3.1,0.3,0.3,1.4,1.6,1.6,1.4,3.2,-1.1,-1.1,-0.3,10.2,21.7
08041035,Blumenviertel,"7,664  ",3.5,1.8,1.3,3.5,7.9,33.8,13.2,0.0,3.4,-0.7,-1.6,-0.8,9.5,-0.3,-0.1,3.7,15.2,23.3,7.3,18.6,4.5,34.2,1.5,0.3,0.2,2.0,1.0,1.4,1.0,2.4,-0.7,-0.6,-0.3,4.1,13.1
08041036,Zittauer Straße,"7,026  ",4.2,3.2,1.4,4.5,10.5,25.9,13.2,0.4,4.9,-0.5,-2.4,-1.8,9.5,0.2,-0.2,3.7,16.5,21.8,5.7,15.9,4.9,26.6,0.9,0.1,0.0,1.9,1.1,1.1,0.9,2.2,-0.4,0.4,-0.1,5.7,9.1
08041037,Alt-Rudow,"9,730  ",5.2,3.6,1.8,8.7,26.5,30.0,18.3,0.7,1.4,-0.6,-0.9,1.8,20.5,-0.1,-0.2,3.7,14.4,25.2,6.5,15.7,4.6,32.6,0.9,0.2,0.4,1.0,1.4,1.7,1.3,3.1,-1.0,0.2,-0.5,8.7,13.4
08041038,Waßmannsdorfer Chaussee,"6,422  ",3.9,3.3,1.0,4.6,11.4,26.9,12.9,-0.4,3.1,-0.2,-0.6,0.4,8.9,-0.3,-0.2,3.5,15.3,25.2,5.3,15.3,3.7,28.6,1.6,0.2,0.0,0.8,0.8,0.9,0.5,1.7,-0.2,0.1,-0.4,5.1,12.6
