NR,Ebene,Gebiet,Einwohner,Dynamik1,Dynamik2,Dynamik4,Dynamik5,Dynamik3,Dynamik6,Status1,Status2,Status3,Status5,Status6,,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
1011303,Planungsraum,Alexanderplatzviertel,"8,134",32.3,2.5,-0.7,0.4,-5.2,3.5,11.3,5.1,4.2,41.9,21.7,,8.7,19.3,17.7,0.6,1,2.2,0.9,4.7,1.6,1,25.9
1011304,Planungsraum,Karl-Marx-Allee,"8,193",20.5,0.9,-1.0,1.9,5.1,9.9,12.3,6.2,5,44,23.5,,10.4,36.3,12.8,1.3,0.8,1.6,0.9,1.3,1.1,0.7,29
1011305,Planungsraum,Heine-Viertel West,"6,260",25.7,0.8,0.5,2.4,4.1,-1.7,10.3,6.6,4.1,37.1,23.5,,8.9,30.6,14.4,1.2,0.7,2,0.8,3.3,0.9,0.6,28.1
1011306,Planungsraum,Heine-Viertel Ost,"7,433",34.8,1.2,0.0,0.9,-6.9,1.8,10.6,7,4.2,26.2,20.9,,10.6,18.4,17.9,3.2,1.6,1.5,1,2.9,1.8,1.2,25.7
1011401,Planungsraum,Invalidenstr.,"13,001",49.2,4.4,-0.4,2.2,2,0.9,8.4,6.1,3.4,17.1,13,,12.5,6.4,18.8,0.7,1.1,2,0.8,7.1,1.7,1.3,14.1
1011402,Planungsraum,Arkonaplatz,"11,030",43.2,2.7,-0.9,1.2,-3.7,-0.5,7.1,5,2.5,17,5.7,,11.5,6.2,16.3,0.4,0.3,1.2,0.4,7.1,1.2,0.7,6.7
1022101,Planungsraum,Huttenkiez,"2,796",48.9,1.6,-0.8,-0.8,-10.2,12.5,21.8,13.9,9.8,60.7,36,,13.5,9.4,32.8,5.7,5.8,0.9,4.4,3.7,6.9,6.1,40.7
1022102,Planungsraum,Beusselkiez,"5,606",43.6,-0.8,-2.1,1.7,-9.7,6,22.6,14.4,9.1,66.5,37.9,,16,9.5,41.7,10.4,5.2,1.8,6.4,4.8,5.8,4.8,48.2
1022103,Planungsraum,Westhafen,141,56.6,-2.8,0.6,1.2,-18.8,-12.5,28.6,29.2,7.6,62.5,12.5,,17,4.3,32.6,22,0,0,6.4,0,0,0,25
1022104,Planungsraum,Emdener Str.,"16,622",38.9,0.5,-4.2,0.1,-3.9,5.7,17.7,11.4,7.4,52.1,25.7,,14.7,11.2,29.6,8.1,2.7,1.5,4.3,3.8,3.4,2.9,33.5
1022105,Planungsraum,Zwinglistr.,"4,634",37.8,2.2,-0.2,0.6,-1.2,-0.3,20.2,13.7,8.6,65.7,34.1,,19.2,10.7,36.4,8.7,5.5,2.3,4.7,4.5,3.9,3.2,46.4
1022106,Planungsraum,Elberfelder Str.,"10,763",28.9,0.4,-0.6,2.9,-1.6,2.1,11.6,8.5,5,29.2,12.5,,13.7,15.9,17.6,2.2,1.6,1.8,1.8,3.2,2.4,1.9,17.3
1022201,Planungsraum,Stephankiez,"9,590",39.4,-0.4,0.0,0.1,-7.4,5.8,17.8,12.4,7.5,54.7,27.8,,16.6,9.3,31.2,10.6,2.5,1.1,3.1,4,3.2,2.6,37.3
1022202,Planungsraum,Heidestr.,"1,431",26.1,-0.4,-1.0,-1.0,-0.8,7.3,22.9,20,10.5,63.8,31.8,,27,9,38.4,23,3.3,1.9,0.9,2.3,1.5,1.5,41.3
1022203,Planungsraum,Lübecker Str.,"6,257",35,-0.9,-0.6,5.1,-10.5,-0.3,20.8,15.9,9.3,60.9,31.2,,17.7,14.1,34.4,14.4,3.3,2.1,4.3,2.9,2.8,2.4,42.5
1022204,Planungsraum,Thomasiusstr.,"5,622",32.7,0.3,-0.5,3.1,1.9,0,13.4,8.3,5.9,35.6,16.6,,12.6,17.1,19.6,4.5,2,1.2,1.5,3.5,3,2.3,21.4
1022205,Planungsraum,Zillesiedlung,"2,916",34,0.3,-0.9,0.3,6.7,5.2,17.7,13.7,7.6,57.8,25.8,,19.1,20.7,26.6,5.2,3.5,5.2,2.1,1.6,2.9,2.2,33
1022206,Planungsraum,Lüneburger Str.,"2,890",33.3,3.6,-0.9,-1.2,-1.4,4.2,13,10.9,5.2,33,18.4,,13.5,13,19.6,4.4,0.8,1.6,1.1,4,2.1,2,20.7
