Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,
Block, Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² ,
003002, 1 ," 1,340 ", 1 ," 2,590 ", 2 ," 1,189 ", 3 ," 1,698 ", 1 ," 2,445 ", 1 ," 1,575 ", 3 ," 1,144 ", 1 ," 1,982 ", 2 ," 2,399 ", 3 ," 2,057 ", 3 ," 1,807 ", 2 ," 3,055 ", 3 ," 2,626 ",,, 1 ," 3,194 ", 1 ," 3,024 ", 2 ," 2,430 ",,,,,,, 2 ," 5,915 ",,,
003095, 2 , 357 ,,,,,,,,, 1 ," 1,758 ",,, 3 ," 1,444 ", 1 , 666 ,,, 3 , 757 , 1 ," 1,828 ",,, 1 ," 3,221 ", 1 ," 1,744 ", 1 ," 3,524 ",,, 1 ," 3,120 ", 1 ," 3,725 ",,, 1 ," 1,157 ", 1 ," 4,856 ",
003096,,, 2 ," 1,158 ", 3 ," 1,851 ", 3 ," 1,014 ", 2 ," 1,389 ", 2 ," 1,370 ", 2 , 912 , 3 ," 1,361 ", 4 ," 1,866 ", 3 ," 3,442 ",,, 1 ," 1,191 ",,, 1 ," 3,760 ",,, 3 ," 2,489 ",,,,, 4 ," 4,149 ",,, 1 ," 4,282 ",,,
003097, 1 ," 1,066 ", 3 ," 1,451 ", 1 ," 1,983 ", 1 , 801 , 1 ," 1,271 ",,,,, 1 ," 1,059 ", 1 ," 1,038 ", 2 ," 1,744 ", 3 ," 1,820 ", 1 ," 2,479 ",,, 5 ," 2,170 ", 3 ," 2,012 ", 3 ," 3,361 ", 2 ," 2,897 ", 2 ," 2,972 ",,, 3 ," 3,400 ", 2 ," 4,305 ",,,
003098, 3 ," 1,098 ", 5 , 897 , 1 ," 1,040 ",,, 3 , 824 , 2 , 749 ,,, 1 ," 1,329 ", 1 ," 1,366 ",,, 2 ," 1,654 ", 2 ," 1,071 ", 1 ," 1,332 ", 1 ," 1,674 ",,,,, 1 ," 3,032 ", 1 ," 2,989 ", 1 ," 1,605 ",,,,,,,
003099, 4 ," 1,113 ", 2 , 865 , 4 ," 1,137 ", 3 ," 1,023 ", 1 ," 1,206 ", 3 , 667 , 7 ," 1,596 ", 9 ," 1,941 ", 7 ," 1,256 ", 11 , 915 , 10 ," 1,145 ", 12 ," 1,234 ", 7 ," 1,196 ", 12 ," 1,934 ", 5 ," 2,145 ", 13 ," 2,765 ", 4 ," 2,273 ", 6 ," 2,566 ", 7 ," 3,375 ", 11 ," 3,797 ", 16 ," 4,790 ", 6 ," 4,923 ",
003100, 1 ," 1,302 ", 2 ," 1,249 ", 3 ," 1,314 ", 1 ," 1,736 ", 1 , 667 ,,, 3 ," 1,044 ", 1 ," 2,625 ", 1 , 285 , 3 , 783 , 2 ," 1,290 ", 4 ," 1,340 ", 3 ," 1,427 ", 2 ," 2,241 ", 2 ," 2,228 ", 3 ," 2,506 ", 4 ," 3,298 ", 1 ," 2,144 ", 1 ," 3,523 ",,, 2 ," 1,298 ", 1 ," 5,644 ",
003102, 1 , 932 ,,,,,,,,,,,,, 1 , 825 ,,, 1 ," 1,042 ",,, 1 ," 1,520 ", 1 ," 1,260 ", 1 ," 1,341 ",,,,, 2 ," 3,665 ", 1 ," 1,250 ",,, 1 ," 4,396 ",,,,,
003103,,,,,,,,,,,,, 1 ," 1,445 ",,,,, 2 ," 1,081 ", 1 , 990 ,,,,,,, 1 ," 2,228 ", 7 ," 3,762 ", 18 ," 4,588 ", 6 ," 6,432 ",,, 3 ," 3,747 ", 1 ," 5,503 ",,,
003104, 5 ," 1,428 ", 4 , 541 , 4 ," 1,215 ", 7 ," 1,894 ", 1 , 708 , 7 ," 1,092 ",,, 3 ," 1,625 ", 2 , 851 , 6 ," 1,634 ", 6 ," 1,644 ", 10 ," 1,452 ", 19 ," 1,710 ", 17 ," 1,791 ", 4 ," 1,206 ", 1 ," 2,615 ", 2 ," 2,517 ", 2 ," 3,051 ", 5 ," 4,237 ", 5 ," 3,532 ", 7 ," 5,324 ", 9 ,,
003106, 2 , 724 , 3 ," 1,185 ", 2 ," 1,927 ", 3 , 764 , 1 ," 2,528 ", 2 ," 1,093 ",,, 2 , 680 , 5 ," 1,226 ", 1 ," 1,204 ", 2 ," 1,254 ", 5 ," 1,543 ", 3 ," 1,773 ", 1 ," 1,340 ", 2 ," 2,801 ", 2 ," 2,404 ", 5 ," 2,616 ", 5 ," 3,468 ", 2 ," 3,977 ", 3 ," 4,499 ", 13 ," 5,724 ",,,
003108, 1 ," 1,698 ", 1 ," 1,053 ",,, 1 , 700 , 1 , 824 ,,, 3 , 950 , 2 , 858 , 1 ," 1,072 ", 1 , 551 , 3 ," 1,153 ", 2 , 980 , 1 , 816 , 1 ," 1,003 ",,,,, 3 ," 2,551 ", 1 ," 4,196 ",,, 2 ," 4,381 ",,,,,
003109, 1 , 551 , 1 ," 2,159 ",,, 1 ," 1,423 ", 4 , 780 , 1 , 654 , 1 , 656 ,,, 3 , 723 ,,, 2 ," 1,449 ", 59 ," 2,135 ", 16 ," 2,276 ", 4 ," 2,565 ", 3 ," 2,179 ", 1 ," 2,365 ", 1 ," 2,638 ", 1 ," 3,562 ", 1 ," 3,891 ", 1 ," 1,862 ", 2 ," 3,907 ",,,
003110, 6 ," 1,626 ", 2 , 777 , 5 , 885 , 4 ," 1,083 ", 16 ," 1,556 ", 7 ," 1,349 ", 1 ," 1,216 ", 27 ," 1,618 ", 4 ," 1,248 ", 7 ," 1,799 ", 29 ," 3,059 ", 15 ," 3,414 ", 7 ," 2,898 ", 7 ," 2,892 ", 6 ," 2,205 ", 8 ," 2,146 ", 1 ," 3,913 ", 3 ," 3,345 ",,, 4 ," 3,762 ", 1 ," 5,942 ", 1 ," 8,394 ",
003111, 2 ," 1,116 ",,,,, 6 ," 1,237 ", 1 ," 1,150 ", 2 ," 1,211 ", 3 ," 1,529 ", 14 ," 1,724 ", 6 ," 1,500 ", 3 ," 1,355 ", 5 ," 1,223 ", 5 , 908 , 9 ," 2,446 ", 6 ," 1,947 ", 1 ," 1,798 ", 2 ," 2,141 ", 3 ," 3,338 ", 7 ," 3,496 ",,, 2 ," 3,919 ", 5 ," 3,850 ",,,
003112, 2 ," 1,059 ", 4 , 794 , 4 , 889 , 5 ," 1,393 ", 4 ," 1,303 ", 11 ," 1,423 ", 4 ," 1,468 ", 3 ," 1,991 ", 2 ," 2,324 ", 6 ," 2,247 ", 5 ," 2,160 ", 5 ," 1,764 ", 6 ," 2,576 ", 3 ," 2,755 ", 6 ," 2,758 ", 2 ," 3,561 ", 4 ," 3,515 ", 1 ," 4,264 ", 2 ," 4,914 ",,,,,,,
003113, 2 ," 1,365 ", 2 ," 1,117 ", 2 ," 1,622 ", 1 ," 1,508 ",,, 1 ," 1,057 ", 3 ," 1,042 ", 3 ," 1,084 ", 3 ," 1,672 ", 2 , 945 , 1 ," 1,830 ",,, 2 ," 1,977 ", 3 ," 2,212 ", 5 ," 1,820 ",,, 2 ," 2,905 ", 1 ," 4,498 ", 1 ," 4,044 ", 1 ," 2,824 ",,,,,
003114, 3 ," 1,412 ",,, 2 ," 1,120 ", 2 ," 1,356 ", 3 ," 1,237 ", 16 ," 2,430 ", 1 , 985 , 42 ," 3,189 ", 24 ," 2,987 ", 3 ," 2,785 ", 7 ," 1,387 ", 2 ," 1,888 ", 4 ," 2,346 ", 3 ," 1,678 ", 2 ," 4,895 ",,, 1 ," 6,619 ", 3 ," 3,170 ", 4 ," 5,546 ", 20 ," 5,729 ", 14 ," 4,907 ", 3 ," 6,632 ",
003115, 3 , 959 , 1 ," 1,125 ", 2 ," 1,001 ", 3 , 889 , 1 ," 1,398 ", 2 ," 1,282 ", 1 ," 1,508 ", 2 ," 1,516 ", 1 , 565 , 1 ," 1,357 ", 1 ," 1,392 ", 2 ," 2,109 ", 1 ," 2,694 ", 2 ," 2,418 ",,, 2 ," 3,063 ", 2 ," 1,544 ", 2 ," 4,246 ",,, 1 ," 3,736 ", 4 ," 3,991 ", 2 ," 5,492 ",
003116, 4 , 994 , 1 ," 1,008 ",,,,,,,,,,,,,,,,, 1 ," 1,763 ", 3 , 676 , 2 ," 1,634 ", 1 ," 2,176 ", 2 ," 2,546 ",,, 11 ," 3,205 ",,, 3 ," 3,215 ", 1 ,, 2 ," 6,719 ",,,
003117,,, 5 ," 1,360 ", 10 ," 1,344 ", 5 ," 1,096 ", 3 ," 1,048 ", 3 ," 1,306 ", 3 ," 1,035 ",,, 3 ," 2,198 ", 2 ," 1,211 ", 12 ," 1,286 ", 6 ," 2,451 ", 3 ," 1,836 ", 1 , 962 , 1 ," 2,548 ", 4 ," 3,738 ", 8 ," 3,016 ", 7 ," 2,236 ", 9 ," 4,778 ", 4 ," 5,132 ", 13 ," 5,521 ", 4 ," 5,599 ",
003118,,,,, 4 ," 1,341 ", 2 ," 1,527 ",,,,, 2 ," 1,235 ", 1 ," 1,026 ", 2 ," 1,208 ", 1 ," 1,530 ", 2 ," 1,196 ", 5 ," 1,299 ", 6 ," 1,633 ", 10 ," 2,022 ", 9 ," 2,607 ", 4 ,, 1 ," 1,060 ", 2 ," 2,490 ", 2 ," 2,374 ", 2 ," 2,780 ", 1 ," 5,981 ",,,
003119, 5 ," 1,217 ", 7 , 784 , 4 ," 1,018 ", 6 , 578 , 3 , 937 , 8 , 666 , 5 , 796 , 3 ," 1,266 ", 6 ," 1,348 ", 5 ," 1,096 ", 6 , 948 , 3 ," 1,265 ", 6 ," 1,348 ", 4 ," 1,780 ", 2 ," 1,973 ", 6 ," 2,153 ", 21 ," 3,343 ", 28 ," 4,054 ", 17 ," 4,091 ", 7 ," 4,749 ", 7 ," 4,233 ", 1 ,,
003120, 12 ," 1,106 ", 25 ," 1,264 ", 6 ," 1,090 ", 10 ," 1,112 ", 6 , 788 , 9 ," 1,011 ", 38 ," 1,530 ", 11 ," 1,003 ", 12 , 990 , 27 , 968 , 16 ," 1,190 ", 22 ," 1,217 ", 18 ," 1,561 ", 21 ," 1,609 ", 15 ," 2,224 ", 11 ," 2,307 ", 15 ," 3,049 ", 11 ," 3,153 ", 13 ," 3,152 ", 13 ," 3,370 ", 11 ," 4,709 ", 3 ," 3,862 ",
003122, 1 ," 1,641 ",,,,, 1 , 842 , 2 ," 1,362 ",,,,,,,,,,,,,,, 3 ,, 13 ," 2,293 ", 2 ," 2,303 ", 1 ,, 1 ," 3,862 ", 1 ," 3,175 ",,, 7 ," 1,945 ", 2 ,,,,
003124,,, 3 ," 1,320 ", 4 ," 1,244 ", 7 ," 1,172 ", 3 ," 1,054 ", 9 , 983 , 2 ," 1,802 ", 3 ," 2,124 ", 3 ," 1,549 ", 16 ," 3,571 ", 16 ," 3,791 ", 16 ," 1,342 ", 7 ," 2,619 ", 16 ," 1,957 ", 1 ," 1,699 ", 5 ," 1,604 ", 3 ," 3,188 ", 1 ," 3,593 ", 2 ," 4,136 ", 8 ," 3,657 ", 3 ," 2,825 ", 4 ," 5,505 ",
003125, 3 ," 1,763 ", 12 ," 1,780 ",,, 3 , 612 , 2 , 800 , 6 , 890 ,,, 5 , 945 , 3 , 704 , 9 , 999 , 2 ," 1,189 ", 6 ," 1,443 ", 1 ," 1,457 ", 13 ," 2,476 ", 4 ," 2,744 ", 6 ," 2,708 ", 4 ," 2,097 ", 2 ," 2,117 ", 3 ," 3,717 ", 8 ," 3,332 ", 3 ," 3,394 ", 1 ," 6,509 ",
003126,,,,,,,,,,,,, 1 ," 1,640 ",,,,, 1 ," 1,787 ",,,,,,,,,,,,,,,,,,, 1 ,, 8 ,, 3 ," 3,722 ",
003140, 35 ," 1,224 ", 27 ," 1,097 ", 36 ," 1,123 ", 37 ," 1,064 ", 27 , 945 , 28 ," 1,139 ", 23 ," 1,098 ", 21 ," 1,302 ", 22 ," 1,375 ", 12 ," 1,612 ", 25 ," 1,658 ", 17 ," 1,473 ", 12 ," 1,736 ", 23 ," 2,049 ", 15 ," 2,134 ", 18 ," 2,390 ", 13 ," 2,534 ", 16 ," 3,141 ", 19 ," 3,751 ", 18 ," 3,894 ", 17 ," 4,139 ",,,
003141, 7 ," 1,491 ", 7 ," 1,746 ", 8 ," 1,545 ", 3 ," 1,621 ", 4 ," 1,614 ", 6 ," 1,138 ", 5 ," 1,369 ", 5 ," 1,753 ", 2 ," 2,104 ", 6 ," 1,336 ", 2 ," 1,958 ", 7 ," 2,211 ", 4 ," 2,115 ", 12 ," 2,422 ", 12 ," 2,537 ", 1 ,, 5 ," 3,465 ",,, 3 ," 4,235 ", 6 ," 4,404 ", 2 ," 4,310 ", 1 ," 13,721 ",
003142, 2 ," 2,199 ", 12 ," 3,003 ", 11 ," 2,989 ", 7 ," 2,893 ", 3 ," 1,963 ", 3 ," 1,485 ", 1 , 946 , 1 ," 1,450 ", 7 ," 1,195 ",,, 2 ," 1,058 ", 2 ," 2,758 ", 6 ," 3,533 ", 5 ," 3,463 ", 6 ," 3,112 ", 1 ," 4,897 ", 2 ," 2,908 ",,, 2 ," 4,096 ", 1 ," 3,022 ", 1 ," 4,986 ",,,
003603, 4 ," 1,144 ", 11 ," 1,035 ", 16 ," 1,274 ", 10 ," 1,051 ", 17 , 900 , 17 , 992 , 20 , 947 , 18 , 960 , 5 ," 1,421 ", 3 ," 1,398 ", 7 ," 1,179 ", 2 ," 2,146 ", 2 ," 1,602 ", 4 ," 1,805 ", 2 ," 2,454 ", 7 ," 2,084 ", 3 ," 2,177 ", 3 ," 3,542 ", 3 ," 3,012 ", 7 ," 3,200 ", 5 ," 4,051 ",,,
003604, 5 ," 1,684 ", 19 ," 1,648 ", 14 ," 1,691 ", 12 ," 1,558 ", 11 ," 1,323 ", 13 ," 1,518 ", 22 ," 1,462 ", 10 ," 1,350 ", 21 ," 1,669 ", 11 ," 1,540 ", 8 ," 1,869 ", 11 ," 1,877 ", 6 ," 2,586 ", 4 ," 2,385 ", 3 ," 2,898 ", 4 ," 3,459 ", 5 ," 4,263 ", 1 ," 4,547 ", 6 ," 4,938 ", 2 ," 5,469 ", 19 ," 4,530 ",,,
003605, 1 ," 1,461 ",,,,,,,,, 1 ," 1,290 ", 1 ," 2,403 ", 1 ," 2,605 ",,,,,,,,,,,,, 2 ," 2,787 ",,, 3 ," 3,126 ",,, 1 ," 4,797 ",,,,,,,
003607, 2 ," 1,418 ", 1 ," 1,145 ",,, 1 ," 1,052 ", 1 ," 1,910 ", 4 ," 1,196 ", 1 ," 1,396 ", 4 ," 1,420 ", 1 ," 1,935 ", 1 , 963 ,,, 3 ," 1,307 ", 2 ," 1,862 ", 1 ," 1,154 ", 7 ," 3,108 ", 6 ," 3,125 ", 4 ," 3,932 ",,, 1 ," 4,227 ", 1 ," 6,129 ",,,,,
003608,,,,, 1 ," 1,501 ", 1 ," 1,282 ", 2 ," 1,096 ", 1 ," 1,144 ", 3 ," 1,522 ", 1 ," 2,075 ", 1 ," 2,414 ",,, 1 ," 2,255 ", 3 ," 1,802 ",,,,,,, 4 ," 4,192 ",,, 4 ," 4,683 ",,,,,,,,,
003609,,, 1 ," 2,239 ", 3 ," 1,407 ", 10 ," 1,444 ", 14 ," 1,607 ", 12 ," 1,247 ", 3 ," 1,406 ", 6 ," 1,744 ", 2 ," 1,933 ", 5 ," 2,824 ", 3 ," 2,063 ",,, 1 ," 1,017 ", 1 ," 1,932 ", 2 ," 2,340 ",,, 2 ," 5,107 ", 2 ," 5,526 ", 1 ," 4,680 ", 3 ," 7,185 ", 4 ," 4,925 ",,,
003623,,, 7 , 651 , 3 , 915 , 2 , 745 , 4 , 686 , 5 , 753 , 8 , 803 , 7 ," 1,008 ", 15 ," 1,576 ", 15 ," 1,648 ", 20 ," 1,220 ", 14 ," 1,545 ", 13 ," 1,699 ", 10 ," 1,447 ", 11 ," 1,387 ", 7 ," 1,870 ", 7 ," 2,654 ", 16 ," 2,959 ", 1 ," 3,824 ", 4 ," 2,272 ", 2 ," 4,212 ", 1 ," 4,843 ",
003640,,,,,,, 1 ," 1,347 ", 5 ," 1,372 ", 4 ," 1,288 ", 10 ," 1,329 ", 8 ," 1,373 ",,, 6 , 963 , 13 , 932 , 1 ," 3,207 ",,,,,,, 2 ," 2,663 ", 87 ," 5,607 ", 14 ," 7,995 ", 8 ," 5,719 ", 5 ," 8,553 ", 16 ," 6,191 ",,,
004610, 13 , 856 , 3 ," 1,605 ", 5 ," 3,151 ", 1 , 964 , 2 ," 1,157 ", 11 ," 1,029 ", 9 ," 1,741 ", 11 ," 1,500 ", 12 ," 1,942 ", 9 ," 1,976 ", 8 ," 2,123 ", 7 ," 2,689 ", 7 ," 3,254 ", 11 ," 3,184 ", 3 ," 4,490 ", 5 ," 4,013 ", 7 ," 4,403 ", 3 ," 6,168 ", 5 ," 5,962 ", 2 ," 6,973 ", 1 ," 4,920 ", 1 ," 6,171 ",
005189, 1 , 733 ,,, 2 ," 5,273 ",,,,,,, 1 ," 2,365 ",,, 1 ," 2,022 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
005192,,,,, 1 ," 2,050 ", 3 ," 2,192 ", 2 ," 2,083 ", 2 ," 1,934 ",,, 1 ," 3,687 ", 2 ,, 2 ," 2,891 ", 1 ,, 6 ," 2,918 ", 5 ," 3,674 ", 2 ,, 1 ,,,, 2 ," 4,735 ",,,,, 2 ,, 1 ,,,,
005195,,,,,,,,, 3 ," 4,484 ", 12 ," 3,611 ", 10 ," 3,886 ", 13 ," 4,607 ", 10 ," 4,502 ",,, 1 ," 4,770 ", 4 ," 4,129 ", 3 ," 4,555 ", 11 ," 6,049 ", 33 ," 6,465 ", 27 ," 6,095 ", 1 ," 5,167 ", 7 ," 6,692 ", 3 ," 6,529 ", 5 ," 7,360 ", 1 ," 7,160 ",,,
005204,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 19 ," 2,764 ", 40 ," 2,877 ", 19 ," 2,876 ", 1 ," 4,687 ", 3 ," 4,860 ", 1 ," 6,504 ", 2 ," 6,533 ",,,
005218, 6 ," 1,698 ", 1 , 996 , 1 ," 1,130 ", 5 ," 1,175 ", 48 ," 1,667 ", 5 ," 2,341 ", 15 ," 1,718 ", 3 ," 1,421 ", 5 ," 1,555 ", 4 ," 1,360 ", 9 ," 1,746 ", 11 ," 1,851 ", 7 ," 1,932 ", 10 ," 1,914 ", 13 ," 2,318 ", 9 ," 1,941 ", 4 ," 3,383 ", 3 ," 2,343 ", 7 ," 3,567 ", 4 ," 5,183 ", 10 ," 4,074 ", 1 ," 2,752 ",
005219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,
005220,,, 2 ," 1,261 ", 1 ," 1,333 ",,,,, 1 ," 1,050 ", 2 ," 1,284 ", 1 ," 1,002 ", 2 ," 1,302 ", 1 ," 1,449 ", 2 ," 1,693 ",,, 1 ," 2,353 ",,,,,,, 1 ," 2,505 ", 3 ," 3,845 ", 2 ," 4,371 ", 1 ," 3,951 ", 1 ," 5,170 ",,,
005224,,, 2 ," 1,461 ", 12 ," 1,641 ", 1 ," 2,038 ",,, 3 ," 1,027 ",,, 1 ," 1,883 ", 1 ," 2,193 ",,, 1 ," 1,815 ", 10 ," 2,394 ", 4 ," 2,765 ", 1 ," 2,342 ",,, 2 ," 3,831 ", 1 ," 1,670 ",,,,, 1 ," 6,604 ", 1 ," 6,233 ",,,
005228,,, 2 ," 6,049 ",,,,,,,,, 60 ," 2,522 ", 13 ," 2,754 ",,,,, 20 ," 2,725 ", 39 ," 3,014 ", 2 ," 3,845 ", 2 ," 3,824 ", 3 ," 5,156 ",,, 2 ," 4,868 ", 10 ," 5,965 ", 3 ," 5,093 ", 8 ," 4,802 ", 10 ," 6,001 ", 8 ," 9,574 ",
005229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ," 6,250 ",,, 1 ,,
005230, 6 ," 1,613 ", 5 ," 1,743 ", 8 ," 2,606 ", 3 ," 1,349 ", 2 ," 1,845 ", 5 ," 1,588 ", 4 ," 1,379 ", 2 ," 1,604 ", 8 ," 1,657 ", 6 ," 2,000 ", 8 ," 2,027 ", 8 ," 2,029 ", 14 ," 2,352 ", 5 ," 2,092 ", 5 ," 1,722 ", 16 ," 2,979 ", 12 ," 3,819 ", 8 ," 3,533 ", 13 ," 3,623 ", 8 ," 4,442 ", 31 ," 5,347 ", 8 ," 5,079 ",
005231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8 ," 5,725 ", 11 ," 6,445 ", 20 ," 5,508 ", 6 ," 5,934 ", 1 ," 6,772 ", 2 ," 2,144 ", 1 ,,
005232,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 27 ," 3,075 ", 12 ," 3,075 ", 3 ," 2,793 ", 1 ," 3,536 ", 1 ," 2,490 ", 1 ," 3,536 ",,,,,
005234,,, 2 ," 1,465 ",,, 6 ," 1,479 ", 7 ," 1,078 ", 4 ," 2,917 ", 1 ," 3,531 ", 1 ,,,,,, 1 ," 1,709 ",,, 1 ," 1,466 ",,,,, 1 ," 3,111 ", 1 ," 3,380 ", 5 ," 5,331 ", 4 ," 5,605 ", 10 ," 4,103 ", 6 ," 4,552 ",,,
005235,,, 1 ," 1,043 ", 2 ," 1,893 ",,, 7 , 775 , 7 , 899 , 3 ," 2,189 ", 2 , 943 , 3 ," 1,809 ", 2 ," 1,842 ", 2 ," 1,985 ",,, 1 ," 2,384 ", 7 ," 3,257 ", 13 ," 3,670 ", 13 ," 3,509 ", 59 ," 5,752 ", 55 ," 6,098 ", 40 ," 6,700 ", 11 ," 7,140 ", 4 ," 7,551 ",,,
005238,,,,,,, 2 , 623 ,,, 3 ,, 2 , 244 ,,, 1 , 553 , 2 , 992 , 4 , 949 , 5 ," 1,714 ", 4 ," 2,264 ", 7 ," 4,027 ", 4 ," 2,439 ",,, 6 ," 2,806 ", 1 ," 4,189 ", 2 ," 9,862 ", 2 ," 4,921 ", 3 ," 8,131 ",,,
005239, 1 ," 1,426 ",,,,,,, 3 ," 1,577 ",,, 2 , 896 , 1 ," 1,728 ", 3 , 772 , 1 ," 2,167 ", 1 , 567 , 5 ,, 18 ,, 2 ,, 1 ,,,, 2 ," 1,732 ", 1 ,,,, 2 ," 5,101 ", 2 ," 9,116 ",,,
005240,,,,,,,,,,,,,,,,,,,,, 1 ," 1,497 ", 4 ," 1,302 ", 1 ," 1,795 ",,, 1 ," 1,652 ", 1 , 570 , 1 ,, 2 , 977 , 3 ," 3,965 ", 50 ," 7,060 ", 105 ," 7,474 ", 22 ," 7,471 ",
005242,,,,, 6 , 575 , 4 , 889 , 1 ," 1,000 ", 2 , 898 , 2 ," 1,027 ", 12 , 683 , 8 , 879 , 5 ," 1,118 ", 5 , 947 , 7 ," 1,745 ", 1 , 625 , 3 ," 2,783 ",,, 21 ," 3,432 ", 8 ," 2,220 ", 1 ," 2,823 ", 3 ," 3,317 ", 2 ," 3,272 ", 1 ," 3,527 ", 1 ,,
005600,,,,,,,,,,,,,,,,,,, 4 ," 6,159 ", 4 ," 6,050 ", 23 ," 6,512 ", 15 ," 5,834 ", 5 ," 5,826 ", 4 ," 4,432 ", 1 ," 8,025 ", 1 ," 4,665 ", 1 ," 8,656 ", 2 ,, 2 ," 7,196 ", 1 ," 7,906 ", 1 ," 9,418 ",
005601,,,,,,, 4 ," 7,761 ", 3 ," 7,936 ", 2 ," 7,855 ", 3 ," 7,921 ",,, 1 ,,,, 4 ," 10,408 ", 1 ," 9,618 ",,,,,,,,,,, 1 ," 20,876 ",,,,, 2 ," 22,957 ", 1 ," 26,454 ",
005602,,,,, 2 ," 14,054 ",,, 7 ," 6,491 ", 1 ," 6,524 ", 6 ," 6,093 ", 13 ," 5,531 ", 7 ," 5,039 ",,, 3 ," 7,317 ", 2 ," 10,766 ",,,,,,, 2 ," 11,131 ", 1 ," 11,147 ", 1 ," 12,186 ", 1 ," 10,036 ", 1 ," 10,404 ", 1 ," 17,628 ", 2 ," 9,164 ",
005605,,,,,,,,,,,,,,,,,,, 7 ," 5,135 ", 12 ," 4,934 ", 13 ," 4,825 ", 2 ,, 4 ," 5,349 ", 1 ," 3,134 ", 136 ," 5,285 ", 37 ," 6,405 ", 6 ," 8,130 ", 5 ," 6,223 ", 6 ," 8,845 ", 11 ," 7,980 ",,,
005606,,,,,,,,,,,,,,,,,,, 4 ," 5,201 ",,,,,,,,,,,,,,,,,,,,,,,,,
005607,,,,,,,,,,,,,,,,, 1 ," 6,959 ", 15 ," 5,312 ", 13 ," 6,204 ", 3 ," 5,739 ", 2 ," 5,840 ", 2 ," 5,843 ",,,,, 2 ," 6,998 ", 1 ,, 1 ,, 2 ," 7,259 ", 1 ,,,,
005622,,,,, 1 ," 1,731 ",,,,, 1 ," 1,287 ", 2 , 609 ,,,,,,, 1 ," 1,696 ",,,,, 16 ," 3,969 ", 17 ," 4,653 ", 18 ," 4,814 ", 2 ," 5,400 ", 29 ," 5,717 ", 22 ," 6,097 ", 13 ," 7,193 ", 11 ," 6,491 ", 1 ," 4,353 ",
005629, 2 ," 3,535 ",,,,,,, 1 ," 5,057 ",,, 1 ," 4,239 ", 2 ," 2,599 ", 4 ," 3,447 ", 1 ," 4,018 ",,, 3 ," 3,840 ", 2 ," 4,289 ", 2 ," 5,263 ", 2 ," 5,856 ", 1 ," 4,952 ",,, 1 ," 4,761 ", 4 ," 6,497 ", 1 ," 5,995 ",,,,,
005633, 18 ," 5,538 ", 4 ," 4,810 ", 1 ," 5,012 ", 4 ," 4,218 ", 4 ," 3,692 ", 4 ," 4,038 ", 21 ," 3,617 ", 26 ," 4,046 ", 9 ," 4,543 ", 8 ," 4,134 ", 9 ," 4,275 ", 21 ," 3,817 ", 17 ," 3,982 ", 12 ," 5,380 ", 5 ," 5,887 ", 9 ," 5,004 ", 4 ," 5,524 ", 5 ," 6,729 ", 2 ," 8,221 ", 7 ," 7,344 ", 5 ," 7,494 ",,,
005639, 19 ," 4,440 ", 5 ," 3,849 ", 5 ," 4,338 ", 4 ," 3,398 ",,, 2 ," 3,229 ", 3 ," 4,140 ", 4 ," 2,957 ", 3 ," 3,403 ", 2 ," 3,493 ", 4 ," 3,135 ", 3 ," 3,603 ", 4 ," 3,891 ", 6 ," 3,425 ", 10 ," 3,950 ", 5 ," 4,539 ", 6 ," 4,855 ", 5 ," 4,291 ", 5 ," 4,677 ", 4 ," 7,841 ", 3 ," 6,971 ", 1 ," 6,808 ",
005644,,,,,,,,,,, 1 ,, 5 ," 2,231 ", 3 ," 1,977 ", 1 ," 1,442 ", 2 ," 1,424 ", 1 ," 1,731 ", 2 ," 1,084 ",,,,, 2 ," 2,185 ",,,,, 13 ," 5,059 ", 62 ," 5,676 ", 36 ," 6,519 ", 25 ," 7,764 ", 1 ," 4,207 ",
