ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200212;11040926;11;04;09;26;2;1812;1218;594;17;3;10;34;12;18;15;34;37;24;19;39;65;133;104;142;237;280;209;165;110;40;9;3;10;6;18;12;0;4;3;0;17;59;147;39;198;1247;52;46;7
200212;11041022;11;04;10;22;2;233;126;107;0;0;0;3;3;6;3;3;9;9;0;9;3;0;15;34;27;28;18;22;15;3;10;0;7;6;0;0;0;0;0;0;0;6;30;9;3;159;13;13;0
200212;11041023;11;04;10;23;2;399;197;202;4;0;9;12;6;3;16;24;21;12;6;22;13;27;12;27;52;42;31;27;15;3;6;3;3;0;0;0;0;0;0;3;4;27;82;22;40;206;12;3;3
200212;11041027;11;04;10;27;2;116;74;42;0;0;3;3;0;3;0;11;3;3;3;3;0;9;3;9;15;15;9;16;0;4;0;4;0;0;0;0;0;0;0;0;0;6;23;3;9;67;8;0;0
200212;11041128;11;04;11;28;2;2634;1684;950;0;10;31;28;26;19;12;34;28;32;12;33;89;380;142;197;367;360;279;211;137;91;32;6;27;18;12;12;6;0;0;3;0;95;137;33;469;1693;129;69;9
200212;11051229;11;05;12;29;2;74;42;32;0;0;0;0;0;0;0;3;0;0;0;0;3;7;3;10;12;9;9;6;6;3;0;0;3;0;0;0;0;0;0;0;0;0;3;0;10;55;3;3;0
200212;11051330;11;05;13;30;2;333;189;144;0;3;9;3;3;7;0;6;0;0;0;3;18;61;22;36;80;34;12;9;9;6;3;3;0;6;0;0;0;0;0;0;0;18;13;3;79;202;12;6;0
200212;11051331;11;05;13;31;2;327;183;144;0;3;0;3;0;0;7;9;9;3;0;9;9;21;16;27;48;47;41;37;20;3;0;3;3;0;6;3;0;0;0;0;0;6;28;9;30;236;6;12;0
200212;11051332;11;05;13;32;2;166;87;79;0;3;0;0;3;3;0;3;6;6;4;0;3;9;6;16;18;18;18;16;6;13;3;3;3;0;0;0;3;0;3;0;0;6;22;0;12;98;19;3;6
200212;12103115;12;10;31;15;2;1071;583;488;3;6;0;16;12;9;9;40;25;16;18;25;37;79;43;69;158;107;79;73;99;62;37;16;3;18;6;3;0;3;0;0;3;34;117;25;116;628;115;30;3
